Groups:
ov2640_capture:camera_capture|fifo_wr_data[17..0] =, ov2640_capture:camera_capture|fifo_wr_data[17], ov2640_capture:camera_capture|fifo_wr_data[16], ov2640_capture:camera_capture|fifo_wr_data[15], ov2640_capture:camera_capture|fifo_wr_data[14], ov2640_capture:camera_capture|fifo_wr_data[13], ov2640_capture:camera_capture|fifo_wr_data[12], ov2640_capture:camera_capture|fifo_wr_data[11], ov2640_capture:camera_capture|fifo_wr_data[10], ov2640_capture:camera_capture|fifo_wr_data[9], ov2640_capture:camera_capture|fifo_wr_data[8], ov2640_capture:camera_capture|fifo_wr_data[7], ov2640_capture:camera_capture|fifo_wr_data[6], ov2640_capture:camera_capture|fifo_wr_data[5], ov2640_capture:camera_capture|fifo_wr_data[4], ov2640_capture:camera_capture|fifo_wr_data[3], ov2640_capture:camera_capture|fifo_wr_data[2], ov2640_capture:camera_capture|fifo_wr_data[1], ov2640_capture:camera_capture|fifo_wr_data[0],  hex

Data:
time unit: s, ov2640_capture:camera_capture|fifo_wr_data[17..0], ov2640_capture:camera_capture|fifo_wr_data[17], ov2640_capture:camera_capture|fifo_wr_data[16], ov2640_capture:camera_capture|fifo_wr_data[15], ov2640_capture:camera_capture|fifo_wr_data[14], ov2640_capture:camera_capture|fifo_wr_data[13], ov2640_capture:camera_capture|fifo_wr_data[12], ov2640_capture:camera_capture|fifo_wr_data[11], ov2640_capture:camera_capture|fifo_wr_data[10], ov2640_capture:camera_capture|fifo_wr_data[9], ov2640_capture:camera_capture|fifo_wr_data[8], ov2640_capture:camera_capture|fifo_wr_data[7], ov2640_capture:camera_capture|fifo_wr_data[6], ov2640_capture:camera_capture|fifo_wr_data[5], ov2640_capture:camera_capture|fifo_wr_data[4], ov2640_capture:camera_capture|fifo_wr_data[3], ov2640_capture:camera_capture|fifo_wr_data[2], ov2640_capture:camera_capture|fifo_wr_data[1], ov2640_capture:camera_capture|fifo_wr_data[0], CAM_HREF, CAM_VSYNC, 
0, XXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 08080, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
4, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
5, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
6, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
7, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
8, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
10, 08080, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
12, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 0C0C0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
