To,Location,I/O Standard,Weak Pull-Up Resistor
CLOCK_50,PIN_Y2,3.3-V LVTTL,
KEY[0],PIN_M23,2.5 V,
KEY[1],PIN_M21,2.5 V,
KEY[2],PIN_N21,2.5 V,
KEY[3],PIN_R24,2.5 V,
CAM_D[0],PIN_AF22,3.3-V LVTTL,
CAM_D[1],PIN_AF21,3.3-V LVTTL,
CAM_D[2],PIN_AE22,3.3-V LVTTL,
CAM_D[3],PIN_AC22,3.3-V LVTTL,
CAM_D[4],PIN_AF25,3.3-V LVTTL,
CAM_D[5],PIN_AE21,3.3-V LVTTL,
CAM_D[6],PIN_AF24,3.3-V LVTTL,
CAM_D[7],PIN_AF15,3.3-V LVTTL,
CAM_HREF,PIN_AD25,3.3-V LVTTL,
CAM_PCLK,PIN_AD19,3.3-V LVTTL,
CAM_PWDN,PIN_AC19,3.3-V LVTTL,
CAM_RESET_N,PIN_AD22,3.3-V LVTTL,
CAM_SIOC,PIN_AH25,3.3-V LVTTL,On
CAM_SIOD,PIN_AG25,3.3-V LVTTL,On
CAM_VSYNC,PIN_AE25,3.3-V LVTTL,
VGA_B[0],PIN_B10,3.3-V LVTTL,
VGA_B[1],PIN_A10,3.3-V LVTTL,
VGA_B[2],PIN_C11,3.3-V LVTTL,
VGA_B[3],PIN_B11,3.3-V LVTTL,
VGA_B[4],PIN_A11,3.3-V LVTTL,
VGA_B[5],PIN_C12,3.3-V LVTTL,
VGA_B[6],PIN_D11,3.3-V LVTTL,
VGA_B[7],PIN_D12,3.3-V LVTTL,
VGA_G[0],PIN_G8,3.3-V LVTTL,
VGA_G[1],PIN_G11,3.3-V LVTTL,
VGA_G[2],PIN_F8,3.3-V LVTTL,
VGA_G[3],PIN_H12,3.3-V LVTTL,
VGA_G[4],PIN_C8,3.3-V LVTTL,
VGA_G[5],PIN_B8,3.3-V LVTTL,
VGA_G[6],PIN_F10,3.3-V LVTTL,
VGA_G[7],PIN_C9,3.3-V LVTTL,
VGA_R[0],PIN_E12,3.3-V LVTTL,
VGA_R[1],PIN_E11,3.3-V LVTTL,
VGA_R[2],PIN_D10,3.3-V LVTTL,
VGA_R[3],PIN_F12,3.3-V LVTTL,
VGA_R[4],PIN_G10,3.3-V LVTTL,
VGA_R[5],PIN_J12,3.3-V LVTTL,
VGA_R[6],PIN_H8,3.3-V LVTTL,
VGA_R[7],PIN_H10,3.3-V LVTTL,
VGA_CLK,PIN_A12,3.3-V LVTTL,
VGA_BLANK_N,PIN_F11,3.3-V LVTTL,
VGA_SYNC_N,PIN_C10,3.3-V LVTTL,
VGA_HS,PIN_G13,3.3-V LVTTL,
VGA_VS,PIN_C13,3.3-V LVTTL,
DRAM_ADDR[0],PIN_R6,3.3-V LVTTL,
DRAM_ADDR[1],PIN_V8,3.3-V LVTTL,
DRAM_ADDR[2],PIN_U8,3.3-V LVTTL,
DRAM_ADDR[3],PIN_P1,3.3-V LVTTL,
DRAM_ADDR[4],PIN_V5,3.3-V LVTTL,
DRAM_ADDR[5],PIN_W8,3.3-V LVTTL,
DRAM_ADDR[6],PIN_W7,3.3-V LVTTL,
